GEL;JURUSAN;RATA_UN;gaji;BIAYA
1;541;7.63;1;2
3;331;6.54;4;1
1;541;7.5;1;1
3;561;8.75;2;2
3;311;6.18;1;2
1;321;6.54;5;2
5;541;6.54;2;2
5;541;6.54;1;2
1;541;7.02;3;2
3;541;5.5;1;2
3;561;6.12;1;2
1;541;6.54;2;1
3;541;6.54;2;2
3;541;7.4;3;2
1;541;6.54;1;2
5;311;6.54;1;2
1;311;6.54;1;2
1;541;6.54;1;3
5;541;6.54;1;1
2;561;6.6;1;2
1;541;6.54;2;1
3;541;6.54;4;2
1;541;3.87;2;2
1;541;8.3;2;2
5;561;6.54;2;1
5;561;8.88;2;2
3;561;6.54;1;2
5;541;6.54;2;2
2;561;6.54;1;2
2;541;7.15;2;2
3;541;5.74;2;3
3;541;4.16;1;2
5;541;3.43;3;2
2;561;6.54;2;2
1;541;6.54;2;2
1;541;6.54;5;2
2;561;6.54;2;1
5;561;6.54;1;1
2;561;6.54;2;2
1;541;8.81;3;2
5;561;6.54;2;2
1;561;7.67;1;2
3;541;6.54;4;2
3;541;7.18;1;1
3;311;8.74;2;2
3;541;6.54;1;1
2;541;8.33;1;2
1;561;6.54;1;2
5;541;3.75;2;3
2;561;6.54;1;1
3;541;6.07;3;2
3;541;6.54;1;2
3;541;8.29;3;2
2;561;6.54;1;2
1;311;6.54;1;2
1;541;7.25;2;2
2;311;6.54;1;1
3;541;6.54;2;2
1;561;6.54;2;2
2;541;6.54;1;2
1;541;6.54;1;2
2;541;5.18;1;1
1;561;6.54;1;1
5;541;1.9;3;2
5;561;6.54;3;2
3;541;3.85;2;2
2;541;4.68;1;2
5;321;6.54;1;2
5;541;6.54;1;2
3;541;6.54;1;2
3;561;6.7;1;3
1;331;6.7;1;2
1;541;6.54;1;2
5;561;6.54;4;2
3;561;7.03;1;2
2;561;6.54;2;2
3;561;6.54;1;2
3;561;8.15;2;2
5;541;6.54;1;2
3;331;6.54;2;1
1;561;8.08;2;2
2;561;4.7;1;2
1;541;6.54;2;2
3;561;6.69;2;2
1;561;7.15;1;2
1;561;6.54;1;1
1;561;6.54;1;2
5;541;9;1;1
3;561;8.08;2;1
1;311;6.54;1;1
3;541;6.54;1;1
1;541;6.54;2;2
3;311;6.54;2;1
5;561;6.54;2;3
2;331;6.63;2;2
1;541;8.49;1;2
2;541;5.62;3;2
2;541;6.54;1;1
2;541;5.28;2;1
1;541;6.54;2;1
1;541;8.2;1;2
2;541;6.54;1;1
2;561;3.08;1;1
3;331;3.36;2;1
1;541;6.54;1;2
3;321;3.36;1;1
1;541;6.54;1;1
2;541;6.54;2;1
2;541;6.54;3;2
2;541;5.91;1;2
2;561;6.54;1;1
1;561;8.21;1;2
2;321;5.5;2;2
1;561;8.02;1;2
5;541;6.48;1;1
1;561;8.75;1;2
1;541;6.54;2;2
1;561;5.42;1;3
5;541;6.54;3;2
2;561;5.02;1;2
3;561;6.54;2;3
3;541;6.54;4;2
3;541;7.17;2;1
1;561;6.54;2;1
3;541;8.1;1;2
3;561;7.4;2;3
5;541;6.54;1;1
2;541;6.54;1;2
5;541;6.54;5;1
2;561;4.94;1;2
1;541;6.54;1;1
2;331;6.54;1;1
2;541;6.54;3;2
3;541;6.54;2;2
1;541;1.77;1;1
3;561;7.8;1;2
2;541;6.54;3;2
1;561;6.54;2;2
3;561;3.96;1;2
3;311;6.54;1;2
1;541;6.54;1;2
3;541;5.69;2;2
3;311;7;1;2
3;541;7.78;1;2
3;321;5.27;2;2
3;541;6.54;1;2
3;311;6.54;1;4
3;541;6.83;2;2
5;331;6.54;2;2
2;311;6.54;3;2
1;331;6.8;1;2
2;541;6.54;1;2
3;561;7.53;2;2
1;561;7.36;3;2
1;561;8.16;1;2
4;561;6.54;1;1
5;541;6.54;1;1
3;541;6.54;1;2
2;561;6.38;3;1
2;541;7.93;1;2
1;541;4;2;2
2;311;6.23;3;2
1;541;7.69;1;1
2;561;6.54;1;2
3;561;6.54;1;2
1;541;8.48;2;2
1;541;7.01;1;1
1;541;6.54;2;2
1;561;6.54;2;2
1;561;6.84;1;2
1;541;6.6;2;2
5;541;6.54;2;1
3;541;5.9;1;2
5;541;6.54;2;2
1;541;6.54;1;2
3;561;6.54;1;2
1;541;6.54;4;2
3;331;6.54;3;2
3;311;5.28;1;2
2;561;6.23;1;2
1;561;4.16;1;1
1;561;6.54;1;2
3;311;6.54;1;2
2;541;6.78;1;2
3;311;8;1;2
1;541;7.48;1;2
1;541;8.22;1;2
3;561;6.21;1;2
2;541;6.54;1;2
1;541;6.54;2;2
1;561;7.5;2;2
3;331;5.69;2;2
2;541;6.67;2;2
2;561;6.74;1;2
3;561;5.99;2;2
2;561;5.93;1;2
2;561;6.9;1;2
3;541;6;1;2
5;541;6.54;3;2
1;541;7.59;2;2
3;331;5.21;1;2
1;561;6.54;1;1
5;541;8.49;1;2
5;541;6.54;1;1
2;541;6.54;2;2
1;561;6.54;1;1
2;561;7.08;1;1
2;541;6.54;2;3
2;541;5.08;2;2
3;561;6.6;1;2
3;561;6.54;1;1
3;561;6.7;1;2
5;541;6.54;2;1
1;561;6.54;3;2
2;331;6.54;1;2
2;541;6.54;3;2
3;561;7.43;1;2
3;541;6.54;1;2
2;561;6.6;2;1
1;561;6.54;2;1
3;541;5.28;1;1
3;311;7.22;1;2
3;561;6.88;1;2
2;561;6.43;1;2
2;311;6.5;1;2
1;541;6.54;2;1
2;541;6.26;1;2
1;561;6.54;1;2
2;561;4.93;1;2
2;541;6.54;1;1
2;561;5.2;1;2
3;541;6.54;5;2
3;541;6.54;2;2
5;541;6.54;2;2
1;561;6.54;2;2
5;541;6.54;2;3
3;541;6.54;2;2
1;561;6.54;1;2
1;541;6.54;1;1
2;541;6.54;1;1
2;541;6.1;1;2
3;541;7.25;2;2
3;541;3.5;2;2
5;541;6.54;3;2
1;311;6.54;1;2
3;561;5.77;2;2
1;541;4.18;2;2
1;541;8.63;1;2
5;541;6.54;2;2
3;541;7.9;2;2
1;561;5.78;1;1
3;561;6.23;1;2
1;541;6.54;1;2
3;541;3.08;1;1
2;541;6.54;4;1
5;561;7.58;2;2
3;331;7.5;2;2
3;561;6.7;1;2
3;561;6.54;2;2
3;561;7.22;2;2
3;541;7.35;1;4
3;561;4.05;2;2
1;561;6.54;4;2
5;541;5.88;5;1
1;541;6.54;4;2
3;311;6.32;1;2
3;331;6.54;1;1
1;541;6.54;1;2
3;561;5.8;1;2
1;561;7.99;1;2
1;311;6.54;1;2
2;561;6.54;1;1
5;541;8.88;2;1
2;331;6.54;1;2
3;541;7.4;1;2
5;541;8.19;1;2
5;541;6.54;2;1
3;321;5.08;1;2
1;561;8.15;1;2
1;541;9.19;1;2
3;541;6.54;1;1
1;541;8.53;1;2
5;541;6.54;1;2
3;541;6.54;5;2
3;541;4.26;1;2
