GEL;JURUSAN;RATA_UN;gaji;BIAYA;STAT_REG
5;561;6.48;3;1;0
5;541;3.75;2;3;0
5;541;4.45;1;3;0
5;311;7.5;2;1;0
5;541;8.5;1;1;1
5;561;7.58;2;2;0
5;541;2.48;2;2;0
5;561;8.88;2;2;0
5;561;6.54;5;1;1
1;311;6.54;1;1;0
1;331;6.54;3;1;0
1;331;6.54;1;1;1
1;541;5.79;1;1;1
1;541;4.68;2;1;1
1;561;4.16;1;1;1
1;321;6.54;5;2;0
1;331;3.82;1;2;0
1;541;3.87;2;2;0
1;331;7.29;2;1;1
1;541;5.39;1;1;0
1;541;3.86;1;1;0
1;561;6.54;5;1;0
1;561;4.58;1;1;1
1;561;5.58;1;1;1
1;311;5.16;1;1;1
1;541;6.54;5;1;1
1;561;5.28;1;1;1
1;561;5.28;2;2;0
1;561;5.78;2;1;1
1;561;5.38;2;1;0
1;541;4.16;4;1;1
1;311;6.54;2;1;1
1;541;4.59;2;1;1
1;541;4.18;2;2;0
1;561;7.78;2;1;1
1;561;2.98;1;1;1
1;561;5.78;1;1;0
1;561;4.98;1;1;0
1;321;6.54;1;1;1
1;321;6.54;1;2;0
1;541;3.27;2;1;1
1;561;6.68;1;1;1
1;541;7.69;1;1;0
1;541;6.98;1;1;0
1;331;6.54;2;1;0
1;541;7.08;2;1;1
1;311;6.54;5;1;1
1;541;3.76;2;1;1
1;541;6.38;2;1;1
1;311;6.54;5;1;0
1;541;5.38;1;1;0
2;561;6.54;4;1;1
2;561;6.54;4;3;0
2;541;5.18;1;1;1
2;561;5.28;1;1;1
2;561;7.08;1;1;0
5;541;8.38;1;1;1
5;311;5.38;1;1;0
5;541;5.18;1;1;1
5;561;6.54;1;1;0
5;541;6.48;1;1;1
5;311;6.54;2;1;1
5;541;9.47;1;1;1
5;541;3.66;1;1;1
5;311;6.54;1;3;0
5;541;8.28;2;1;1
5;311;7.48;2;1;1
1;561;3.08;1;1;1
2;541;3.08;5;1;0
2;541;3.08;2;1;0
2;541;3.08;2;3;0
2;311;6.54;2;1;1
1;311;4.27;1;1;0
2;311;7.08;1;1;1
2;541;3.08;1;1;1
5;541;6.38;1;2;0
2;541;6.54;5;1;0
2;561;3.96;1;1;1
2;561;3.08;4;1;1
5;561;8.59;2;1;1
2;541;6.46;2;1;1
2;321;6.54;2;1;1
2;541;6.54;4;1;0
2;331;6.54;4;1;0
1;541;6.38;2;3;0
2;541;6.38;1;1;1
2;541;5.28;2;1;1
2;541;5.58;2;2;0
2;561;6.68;1;1;1
2;541;2.88;2;1;1
2;541;6.19;2;1;1
2;541;6.08;1;1;0
2;541;5.48;2;1;1
2;541;2.76;1;1;1
2;331;6.54;1;1;1
2;311;5.88;1;1;0
2;541;3.38;1;1;1
2;321;6.54;1;1;0
2;311;6.54;5;1;1
2;331;6.54;2;1;1
2;561;6.08;2;1;1
2;541;6.98;1;1;1
2;321;4.58;1;1;0
3;541;4.58;1;1;0
3;561;6.54;4;1;0
5;561;4.07;1;1;1
5;541;5.88;5;1;1
3;561;6.69;3;3;0
3;541;7.28;5;1;0
3;541;8.58;1;1;1
3;541;5.27;1;1;1
3;541;6.28;1;1;1
3;561;5.88;2;1;1
3;541;5.68;2;1;0
3;541;6.54;5;1;1
3;541;5.28;1;1;1
3;561;3.08;2;1;0
3;311;6.54;2;1;0
3;331;6.54;2;2;0
3;331;7.88;2;1;1
3;541;6.48;2;1;1
3;321;3.36;1;1;1
1;321;7.98;1;1;1
3;331;6.54;1;1;0
3;311;6.54;1;3;0
3;561;6.54;4;1;1
3;541;5.08;1;1;1
3;331;3.36;2;1;1
3;541;6.68;1;1;0
3;331;6.76;1;1;1
3;561;6.48;1;1;0
3;541;6.09;2;1;1
2;541;6.54;3;1;1
3;561;4.88;3;1;1
3;331;6.54;4;1;1
3;321;5.27;2;2;0
3;561;5.17;2;1;1
3;541;3.18;2;2;0
4;561;6.54;2;1;1
4;561;6.54;1;1;1
4;561;6.54;2;1;0
3;321;6.54;2;1;0
3;561;5.17;3;2;0
4;311;5.27;1;1;1
4;541;6.54;2;2;0
