GEL;JURUSAN;RATA_UN;gaji;BIAYA;STAT_REG
3;541;7.1;2;1;1
3;541;8.1;1;2;1
3;561;8.1;1;2;1
3;561;7.35;1;2;1
3;561;8.12;1;3;1
3;541;6.85;3;2;0
3;541;7.57;1;2;1
3;561;8.5;1;3;1
3;561;7.11;3;2;1
3;561;5.47;3;2;1
3;311;7.5;1;2;1
3;561;7.53;2;2;1
3;561;7.63;1;2;1
3;561;6.7;1;3;0
3;541;7.08;2;2;0
3;541;7.45;1;2;0
3;311;6.32;1;2;1
3;561;6.68;1;2;0
3;561;6.77;5;2;1
3;541;7.95;1;2;0
3;561;7.52;1;2;0
3;541;7.2;1;2;1
3;541;6.54;5;2;0
3;541;5.49;1;1;0
3;541;6.25;2;2;0
3;541;6.63;2;2;0
3;561;6.88;1;2;1
3;331;6.8;2;1;1
3;541;7.17;1;2;1
3;541;7.35;2;2;1
3;311;6.18;1;2;1
3;311;7.23;1;2;1
3;311;6.43;1;2;1
3;331;6;1;2;1
3;541;7.18;1;1;1
3;311;7.58;4;2;1
3;561;5.92;1;2;1
3;561;8.75;2;2;1
3;561;6.46;2;2;1
3;561;6.67;1;2;1
3;561;6.65;2;2;1
3;541;7.33;2;2;1
3;541;6.48;2;2;1
3;541;6.38;2;2;1
3;561;7.03;3;2;0
3;541;7.45;1;2;1
3;311;6.07;1;2;1
3;541;7.78;2;2;1
3;541;8.08;2;2;1
3;561;7.08;2;2;1
3;311;6.9;1;2;0
3;561;7.8;1;2;0
5;541;7.45;3;2;1
5;311;6.54;1;1;0
5;331;5.64;5;2;1
5;541;6.02;1;1;1
5;561;7.75;1;2;1
5;541;8;1;2;1
5;541;6.92;1;2;0
5;541;8.88;1;3;1
5;541;8.5;1;2;1
5;541;8.88;2;1;1
5;541;8.28;1;2;1
5;541;7.21;1;2;1
5;311;7.25;1;2;1
5;331;6.54;2;2;1
5;561;8.06;1;2;0
5;311;8.05;1;2;1
5;541;7.8;1;2;1
5;541;7.15;2;2;1
5;541;9.18;1;1;1
5;311;6.54;1;2;1
5;541;7.23;2;2;1
5;311;7.93;1;2;1
5;541;6.54;1;3;0
5;541;8.8;1;2;1
5;541;7.67;1;2;1
5;541;6.8;2;2;0
5;541;7.1;1;2;1
5;321;6.07;1;2;0
5;331;7.25;1;2;1
5;541;7.38;1;2;1
5;541;8.65;1;2;1
5;541;7.58;1;2;1
1;311;7.85;1;2;0
1;541;7.29;1;1;1
1;541;8.82;1;1;1
1;541;8;2;1;1
1;541;8.35;1;2;1
1;541;8.37;1;2;1
1;541;7.75;1;2;0
1;561;8.53;2;2;1
1;561;8.35;1;2;1
1;541;7.9;2;2;0
1;311;7.79;1;2;1
1;541;7.16;2;2;1
1;561;8.15;1;2;1
1;541;7.43;1;2;0
1;561;7.67;1;2;0
1;561;8.16;1;2;1
1;541;8.78;1;2;0
1;331;0.67;2;2;1
1;541;7.36;2;2;1
1;311;7.58;4;2;1
1;541;7.83;1;2;1
1;541;8.18;1;2;1
1;541;8.78;1;2;1
1;541;8.49;1;2;0
1;331;7.59;1;2;1
1;561;7.23;2;2;1
1;541;8.08;1;1;1
1;541;6.79;1;2;1
1;541;7.75;1;2;1
1;561;8.26;1;2;1
1;561;8.08;2;2;1
1;561;7.02;2;2;1
1;541;8.03;1;2;1
1;561;7.35;1;2;1
1;541;8.33;1;3;1
1;561;7.53;1;2;0
1;561;8.06;1;2;1
1;561;5.42;1;3;1
1;561;8.42;1;2;1
1;541;7.37;1;1;1
1;541;7.41;1;2;1
1;541;7.08;1;2;1
1;541;6.78;2;2;0
1;561;7.61;1;3;1
1;541;6.1;1;2;1
1;561;6.98;2;2;1
2;331;6.54;2;2;0
2;561;4.93;1;2;1
2;561;6.23;1;2;1
2;541;4.68;1;2;0
2;561;5.92;2;1;1
2;561;4.19;1;2;1
2;561;7.6;5;2;1
2;541;6.81;1;2;1
2;561;6.73;1;2;0
2;561;6.1;1;2;1
2;311;7.72;1;2;0
2;561;5.85;1;2;1
2;541;4.77;1;2;0
2;541;6.17;1;2;1
2;331;4.38;1;1;1
2;561;4.59;2;2;1
2;321;3.79;2;2;1
2;561;5.32;3;2;1
2;561;5.81;1;2;0
2;321;7.8;2;2;1
2;541;4.65;1;2;1
2;561;5.65;2;2;1
2;561;6.6;1;2;1
2;541;7.59;2;2;1
2;541;7.2;1;2;1
2;541;6.09;2;2;0
2;321;5.51;1;2;1
2;561;3.97;1;2;1
2;541;3.68;1;2;1
2;311;6.54;2;2;1
2;561;4.94;1;2;0
2;541;8.07;3;2;1
2;541;6.78;1;2;1
2;561;7.98;1;1;0
